ear,time
2.3994872214437732,03:13
2.766347505642866,03:13
2.8325712767005915,03:13
2.820377222497991,03:13
2.5695697294666195,03:13
2.382015232478368,03:13
3.268103644568574,03:13
2.997401393168321,03:13
3.2586629370498197,03:13
2.289311884279074,03:13
2.909802688794354,03:13
3.0587119556429725,03:13
3.2662962127635655,03:13
3.1178634866770216,03:13
3.348257762609943,03:13
2.576699888619584,03:13
2.3539210422884933,03:13
2.2015083988252435,03:13
2.2664736980838134,03:13
2.241468223665931,03:13
2.7967461719254803,03:13
