label,time
1,21:10:05
1,21:10:05
1,21:10:05
1,21:10:05
1,21:10:06
1,21:10:07
1,21:10:07
1,21:10:07
1,21:10:07
1,21:10:08
1,21:10:08
1,21:10:08
1,21:10:09
1,21:10:09
1,21:10:09
1,21:10:09
1,21:10:10
1,21:10:10
1,21:10:10
1,21:10:10
1,21:10:11
1,21:10:11
1,21:10:11
1,21:10:11
1,21:10:12
1,21:10:12
1,21:10:12
1,21:10:13
1,21:10:13
1,21:10:16
1,21:10:16
1,21:10:16
1,21:10:17
0,21:10:21
0,21:10:21
0,21:10:21
0,21:10:22
0,21:10:22
0,21:10:22
0,21:10:23
0,21:10:24
0,21:10:25
0,21:10:25
0,21:10:25
0,21:10:25
0,21:10:34
0,21:10:35
0,21:10:35
0,21:10:35
